Module,Learning target,Rank,Textbook,Author(s),Role,Level,Why it made the cut,Amazon search,Legal full/open text,Access status,Best free companion
15,Quantum + condensed matter,5,Solid State Physics,"Neil W. Ashcroft, N. David Mermin",Condensed-matter depth,Graduate / advanced undergraduate,"The enduring deep reference for electrons in solids, band structure, lattice dynamics, transport, magnetism, and Fermi liquids.",https://www.amazon.com/s?k=Solid+State+Physics+Neil+W.+Ashcroft%2C+N.+David+Mermin,,No legal full text located,https://www.damtp.cam.ac.uk/user/tong/aqm.html
16,Chemistry + materials,1,Materials Science and Engineering: An Introduction,"William D. Callister Jr., David G. Rethwisch",Materials primary spine,Undergraduate,"The standard processing–structure–properties–performance foundation across metals, ceramics, polymers, composites, and electronic materials.",https://www.amazon.com/s?k=Materials+Science+and+Engineering%3A+An+Introduction+William+D.+Callister+Jr.%2C+David+G.+Rethwisch,,No legal full text located,https://ocw.mit.edu/courses/3-091-introduction-to-solid-state-chemistry-fall-2018/
16,Chemistry + materials,2,"Engineering Materials 1: An Introduction to Properties, Applications and Design","Michael F. Ashby, David R. H. Jones",Engineering intuition,Undergraduate,"Builds transferable intuition for stiffness, strength, fracture, fatigue, creep, and material selection.",https://www.amazon.com/s?k=Engineering+Materials+1%3A+An+Introduction+to+Properties%2C+Applications+and+Design+Michael+F.+Ashby%2C+David+R.+H.+Jones,,No legal full text located,https://ocw.mit.edu/courses/3-091-introduction-to-solid-state-chemistry-fall-2018/
16,Chemistry + materials,3,Materials Selection in Mechanical Design,Michael F. Ashby,Design / selection,Upper undergraduate / professional,"Turns materials knowledge into a quantitative design process using property charts, objectives, and constraints.",https://www.amazon.com/s?k=Materials+Selection+in+Mechanical+Design+Michael+F.+Ashby,,No legal full text located,https://ocw.mit.edu/courses/3-091-introduction-to-solid-state-chemistry-fall-2018/
16,Chemistry + materials,4,Atkins' Physical Chemistry,"Peter Atkins, Julio de Paula, James Keeler",Chemistry depth,Undergraduate / graduate,"Core thermodynamics, kinetics, quantum chemistry, spectroscopy, and molecular statistical mechanics.",https://www.amazon.com/s?k=Atkins%27+Physical+Chemistry+Peter+Atkins%2C+Julio+de+Paula%2C+James+Keeler,,No legal full text located,https://openstax.org/details/books/chemistry-2e
16,Chemistry + materials,5,Chemistry 2e,OpenStax,Open chemistry spine,Undergraduate,"Full legal general-chemistry text covering atomic/molecular structure, thermochemistry, equilibrium, kinetics, electrochemistry, and more.",https://www.amazon.com/s?k=Chemistry+2e+OpenStax,https://openstax.org/details/books/chemistry-2e,Full open text,https://openstax.org/details/books/chemistry-2e
17,Molecular + cell biology,1,Molecular Biology of the Cell,Bruce Alberts et al.,Primary reference,Undergraduate / graduate,"The canonical broad reference for cell structure, molecular mechanisms, signaling, cell cycle, development, and experimental biology.",https://www.amazon.com/s?k=Molecular+Biology+of+the+Cell+Bruce+Alberts+et+al.,,No legal current full text located,https://openstax.org/details/books/biology-2e
17,Molecular + cell biology,2,Molecular Cell Biology,Harvey Lodish et al.,Mechanistic spine,Undergraduate,"Excellent molecular-to-cellular explanation with strong biochemistry, gene regulation, signaling, membranes, and disease connections.",https://www.amazon.com/s?k=Molecular+Cell+Biology+Harvey+Lodish+et+al.,,No legal full text located,https://openstax.org/details/books/biology-2e
17,Molecular + cell biology,3,Essential Cell Biology,Bruce Alberts et al.,First-pass cell biology,Undergraduate,More compact and learnable than MBoC while preserving the key cellular mechanisms.,https://www.amazon.com/s?k=Essential+Cell+Biology+Bruce+Alberts+et+al.,,No legal full text located,https://openstax.org/details/books/biology-2e
17,Molecular + cell biology,4,Physical Biology of the Cell,"Rob Phillips, Jane Kondev, Julie Theriot, Hernan G. Garcia",Quantitative biology,Upper undergraduate / graduate,"Crucial bridge from physics/math to cells: scaling, statistical mechanics, mechanics, information, and biological networks.",https://www.amazon.com/s?k=Physical+Biology+of+the+Cell+Rob+Phillips%2C+Jane+Kondev%2C+Julie+Theriot%2C+Hernan+G.+Garcia,,No legal full text located,https://openstax.org/details/books/biology-2e
17,Molecular + cell biology,5,The Cell: A Molecular Approach,"Geoffrey M. Cooper, Robert E. Hausman",Alternative cell text,Undergraduate,Strong conventional cell-biology course text; an older edition is legally available through NCBI Bookshelf.,https://www.amazon.com/s?k=The+Cell%3A+A+Molecular+Approach+Geoffrey+M.+Cooper%2C+Robert+E.+Hausman,https://www.ncbi.nlm.nih.gov/books/,Older edition legally free via NCBI,https://openstax.org/details/books/biology-2e
18,Genetics + evolution + systems biology,1,Genetics: A Conceptual Approach,Benjamin A. Pierce,Genetics primary spine,Undergraduate,"Excellent conceptual genetics from Mendel through molecular genetics, genomics, quantitative and population genetics.",https://www.amazon.com/s?k=Genetics%3A+A+Conceptual+Approach+Benjamin+A.+Pierce,,No legal full text located,https://openstax.org/details/books/biology-2e
18,Genetics + evolution + systems biology,2,Principles of Population Genetics,"Daniel L. Hartl, Andrew G. Clark",Population genetics depth,Upper undergraduate / graduate,"Core theory connecting allele frequencies, selection, drift, mutation, migration, linkage, and molecular evolution.",https://www.amazon.com/s?k=Principles+of+Population+Genetics+Daniel+L.+Hartl%2C+Andrew+G.+Clark,,No legal full text located,https://openstax.org/details/books/biology-2e
18,Genetics + evolution + systems biology,3,Evolution,"Douglas J. Futuyma, Mark Kirkpatrick",Evolution spine,Undergraduate / graduate,"Broad modern evolutionary biology with evidence, mechanisms, phylogenetics, adaptation, speciation, and macroevolution.",https://www.amazon.com/s?k=Evolution+Douglas+J.+Futuyma%2C+Mark+Kirkpatrick,,No legal full text located,https://open.lib.umn.edu/evolutionbiology/
18,Genetics + evolution + systems biology,4,An Introduction to Systems Biology: Design Principles of Biological Circuits,Uri Alon,Systems-biology spine,Upper undergraduate / graduate,"Foundational motifs, feedback/feedforward loops, robustness, adaptation, and network design principles.",https://www.amazon.com/s?k=An+Introduction+to+Systems+Biology%3A+Design+Principles+of+Biological+Circuits+Uri+Alon,,No legal full text located,https://ocw.mit.edu/courses/8-591j-systems-biology-fall-2014/
18,Genetics + evolution + systems biology,5,Evolutionary Dynamics: Exploring the Equations of Life,Martin A. Nowak,Mathematical evolution,Upper undergraduate / graduate,"Connects evolutionary processes to dynamical systems, games, mutation-selection, spatial structure, and cooperation.",https://www.amazon.com/s?k=Evolutionary+Dynamics%3A+Exploring+the+Equations+of+Life+Martin+A.+Nowak,,No legal full text located,https://open.lib.umn.edu/evolutionbiology/
19,Neuroscience + physiology,1,Neuroscience,Dale Purves et al.,Neuroscience primary spine,Undergraduate,"Broad, readable systems neuroscience from cells and synapses to sensation, action, development, and cognition.",https://www.amazon.com/s?k=Neuroscience+Dale+Purves+et+al.,,No legal current full text located,https://neuronaldynamics.epfl.ch/online/index.html
19,Neuroscience + physiology,2,Principles of Neural Science,Eric R. Kandel et al.,Deep reference,Graduate / medical,"The enormous canonical reference across cellular, systems, cognitive, developmental, and clinical neuroscience.",https://www.amazon.com/s?k=Principles+of+Neural+Science+Eric+R.+Kandel+et+al.,,No legal full text located,https://neuronaldynamics.epfl.ch/online/index.html
19,Neuroscience + physiology,3,Neuroscience: Exploring the Brain,"Mark F. Bear, Barry W. Connors, Michael A. Paradiso",Undergraduate alternate,Undergraduate,"Strong explanatory text with particularly good sensory, motor, plasticity, and systems treatment.",https://www.amazon.com/s?k=Neuroscience%3A+Exploring+the+Brain+Mark+F.+Bear%2C+Barry+W.+Connors%2C+Michael+A.+Paradiso,,No legal full text located,https://neuronaldynamics.epfl.ch/online/index.html
19,Neuroscience + physiology,4,Neuronal Dynamics: From Single Neurons to Networks and Models of Cognition,"Wulfram Gerstner, Werner M. Kistler, Richard Naud, Liam Paninski",Computational neuroscience,Upper undergraduate / graduate,"Excellent mathematical bridge from spiking neurons through population dynamics, plasticity, decoding, and decision models.",https://www.amazon.com/s?k=Neuronal+Dynamics%3A+From+Single+Neurons+to+Networks+and+Models+of+Cognition+Wulfram+Gerstner%2C+Werner+M.+Kistler%2C+Richard+Naud%2C+Liam+Paninski,https://neuronaldynamics.epfl.ch/online/index.html,Full legal online text,https://neuronaldynamics.epfl.ch/online/index.html
19,Neuroscience + physiology,5,Human Physiology: An Integrated Approach,Dee Unglaub Silverthorn,Physiology spine,Undergraduate,System-level physiology with especially strong homeostasis and integrative-regulation framing.,https://www.amazon.com/s?k=Human+Physiology%3A+An+Integrated+Approach+Dee+Unglaub+Silverthorn,,No legal full text located,https://openstax.org/details/books/anatomy-and-physiology-2e
20,Electronics + embedded systems,1,The Art of Electronics,"Paul Horowitz, Winfield Hill",Electronics primary reference,Undergraduate / professional,"Unmatched practical intuition for analog/digital electronics, devices, op-amps, noise, power, interfaces, and instrumentation.",https://www.amazon.com/s?k=The+Art+of+Electronics+Paul+Horowitz%2C+Winfield+Hill,,No legal full text located,https://www.allaboutcircuits.com/textbook/
20,Electronics + embedded systems,2,Microelectronic Circuits,"Adel S. Sedra, Kenneth C. Smith",Circuit theory spine,Undergraduate,"Standard rigorous electronics text for semiconductor devices, amplifiers, op-amps, filters, feedback, and digital circuits.",https://www.amazon.com/s?k=Microelectronic+Circuits+Adel+S.+Sedra%2C+Kenneth+C.+Smith,,No legal full text located,https://www.allaboutcircuits.com/textbook/
20,Electronics + embedded systems,3,Fundamentals of Microelectronics,Behzad Razavi,Device-to-circuit intuition,Undergraduate,Exceptionally clear semiconductor and analog-circuit explanations with strong design intuition.,https://www.amazon.com/s?k=Fundamentals+of+Microelectronics+Behzad+Razavi,,No legal full text located,https://www.allaboutcircuits.com/textbook/
20,Electronics + embedded systems,4,Embedded Systems: Real-Time Interfacing to Arm Cortex-M Microcontrollers,Jonathan W. Valvano,Embedded spine,Undergraduate,"Hardware/software co-design, interrupts, timing, ADC/DAC, serial interfaces, real-time systems, and microcontroller projects.",https://www.amazon.com/s?k=Embedded+Systems%3A+Real-Time+Interfacing+to+Arm+Cortex-M+Microcontrollers+Jonathan+W.+Valvano,,No legal full text located,https://www.allaboutcircuits.com/textbook/
20,Electronics + embedded systems,5,Making Embedded Systems: Design Patterns for Great Software,Elecia White,Industry practice,Professional / undergraduate,"Real embedded-engineering concerns: architecture, peripherals, debugging, resource limits, state machines, and team design.",https://www.amazon.com/s?k=Making+Embedded+Systems%3A+Design+Patterns+for+Great+Software+Elecia+White,,No legal full text located,https://www.allaboutcircuits.com/textbook/
21,Mechanical design + fluids + structures,1,Shigley's Mechanical Engineering Design,"Richard G. Budynas, J. Keith Nisbett",Mechanical design spine,Undergraduate,"Core machine-element design: stress, fatigue, shafts, gears, bearings, fasteners, springs, and design reliability.",https://www.amazon.com/s?k=Shigley%27s+Mechanical+Engineering+Design+Richard+G.+Budynas%2C+J.+Keith+Nisbett,,No legal full text located,https://books.open.tudelft.nl/home/catalog/book/197
21,Mechanical design + fluids + structures,2,Mechanics of Materials,R. C. Hibbeler,Structures / stress spine,Undergraduate,"Clear foundation in stress, strain, torsion, bending, shear, deflection, buckling, and failure.",https://www.amazon.com/s?k=Mechanics+of+Materials+R.+C.+Hibbeler,,No legal full text located,https://books.open.tudelft.nl/home/catalog/book/197
21,Mechanical design + fluids + structures,3,Fluid Mechanics,Frank M. White,Fluids spine,Undergraduate,"Broad engineering fluids: control-volume analysis, dimensional analysis, viscous flow, boundary layers, compressible flow, turbomachinery.",https://www.amazon.com/s?k=Fluid+Mechanics+Frank+M.+White,,No legal full text located,https://books.open.tudelft.nl/home/catalog/book/197
21,Mechanical design + fluids + structures,4,Fluid Mechanics: Fundamentals and Applications,"Yunus A. Çengel, John M. Cimbala",Applied fluids,Undergraduate,"Accessible engineering treatment with extensive applications, energy equations, pipe flow, external flow, and turbomachinery.",https://www.amazon.com/s?k=Fluid+Mechanics%3A+Fundamentals+and+Applications+Yunus+A.+%C3%87engel%2C+John+M.+Cimbala,,No legal full text located,https://books.open.tudelft.nl/home/catalog/book/197
21,Mechanical design + fluids + structures,5,Introduction to Aerospace Structures and Materials,René Alderliesten,Open structures/materials bridge,Undergraduate,"Legally open TU Delft text integrating loads, stress/strain, beams, structural concepts, fatigue, and aerospace materials.",https://www.amazon.com/s?k=Introduction+to+Aerospace+Structures+and+Materials+Ren%C3%A9+Alderliesten,https://books.open.tudelft.nl/home/catalog/book/197,Full open text,https://books.open.tudelft.nl/home/catalog/book/197
22,Metrology + experiments,1,NIST/SEMATECH e-Handbook of Statistical Methods,"NIST, SEMATECH",Primary reference,Undergraduate / professional,"Authoritative practical reference for measurement, uncertainty, exploratory analysis, calibration, DOE, reliability, and process statistics.",https://www.amazon.com/s?k=NIST%2FSEMATECH+e-Handbook+of+Statistical+Methods+NIST%2C+SEMATECH,https://www.itl.nist.gov/div898/handbook/,Full legal online handbook,https://www.itl.nist.gov/div898/handbook/
22,Metrology + experiments,2,Design and Analysis of Experiments,Douglas C. Montgomery,DOE spine,Upper undergraduate / graduate,"The standard engineering text for factorials, blocking, response surfaces, robust experiments, and statistical design.",https://www.amazon.com/s?k=Design+and+Analysis+of+Experiments+Douglas+C.+Montgomery,,No legal full text located,https://www.itl.nist.gov/div898/handbook/
22,Metrology + experiments,3,"Statistics for Experimenters: Design, Innovation, and Discovery","George E. P. Box, J. Stuart Hunter, William G. Hunter",Experimental thinking,Graduate / professional,"Develops sequential experimentation, factorial reasoning, response surfaces, and the philosophy of learning from intervention.",https://www.amazon.com/s?k=Statistics+for+Experimenters%3A+Design%2C+Innovation%2C+and+Discovery+George+E.+P.+Box%2C+J.+Stuart+Hunter%2C+William+G.+Hunter,,No legal full text located,https://www.itl.nist.gov/div898/handbook/
22,Metrology + experiments,4,An Introduction to Error Analysis,John R. Taylor,Measurement uncertainty,Undergraduate,"Best compact introduction to uncertainty, propagation, distributions, fits, and reporting physical measurements.",https://www.amazon.com/s?k=An+Introduction+to+Error+Analysis+John+R.+Taylor,,No legal full text located,https://www.itl.nist.gov/div898/handbook/
22,Metrology + experiments,5,Data Reduction and Error Analysis for the Physical Sciences,"Philip R. Bevington, D. Keith Robinson",Data-analysis depth,Undergraduate / graduate,"Classic scientific-data treatment of uncertainties, fitting, likelihood, regression, and computational analysis.",https://www.amazon.com/s?k=Data+Reduction+and+Error+Analysis+for+the+Physical+Sciences+Philip+R.+Bevington%2C+D.+Keith+Robinson,,No legal full text located,https://www.itl.nist.gov/div898/handbook/
23,Manufacturing + operations,1,Factory Physics,"Wallace J. Hopp, Mark L. Spearman",Operations / flow spine,Upper undergraduate / graduate,"Essential laws of manufacturing systems: variability, buffers, cycle time, WIP, capacity, push/pull, and flow.",https://www.amazon.com/s?k=Factory+Physics+Wallace+J.+Hopp%2C+Mark+L.+Spearman,,No legal full text located,https://www.open.edu/openlearn/science-maths-technology/design-innovation/manufacturing/content-section-0
23,Manufacturing + operations,2,"Fundamentals of Modern Manufacturing: Materials, Processes, and Systems",Mikell P. Groover,Manufacturing spine,Undergraduate,"Broad manufacturing processes, materials, production systems, quality, automation, and economics.",https://www.amazon.com/s?k=Fundamentals+of+Modern+Manufacturing%3A+Materials%2C+Processes%2C+and+Systems+Mikell+P.+Groover,,No legal full text located,https://www.open.edu/openlearn/science-maths-technology/design-innovation/manufacturing/content-section-0
23,Manufacturing + operations,3,Manufacturing Engineering and Technology,"Serope Kalpakjian, Steven R. Schmid",Process depth,Undergraduate,"Comprehensive process reference from casting/forming/machining to polymers, additive processes, surfaces, quality, and automation.",https://www.amazon.com/s?k=Manufacturing+Engineering+and+Technology+Serope+Kalpakjian%2C+Steven+R.+Schmid,,No legal full text located,https://www.open.edu/openlearn/science-maths-technology/design-innovation/manufacturing/content-section-0
23,Manufacturing + operations,4,Operations Management,"Nigel Slack, Alistair Brandon-Jones, Nicola Burgess",Operations-management spine,Undergraduate / MBA,"Strong framework for capacity, process design, supply networks, quality, inventory, planning, improvement, and operations strategy.",https://www.amazon.com/s?k=Operations+Management+Nigel+Slack%2C+Alistair+Brandon-Jones%2C+Nicola+Burgess,,No legal full text located,https://www.open.edu/openlearn/mod/oucontent/view.php?id=68885
23,Manufacturing + operations,5,Operations Management: Sustainability and Supply Chain Management,"Jay Heizer, Barry Render, Chuck Munson",Applied operations,Undergraduate,"Large applied toolkit for forecasting, capacity, location, inventory, scheduling, quality, supply chain, and project management.",https://www.amazon.com/s?k=Operations+Management%3A+Sustainability+and+Supply+Chain+Management+Jay+Heizer%2C+Barry+Render%2C+Chuck+Munson,,No legal full text located,https://www.open.edu/openlearn/mod/oucontent/view.php?id=68885
24,Safety + reliability + security,1,An Introduction to System Safety Engineering,Nancy G. Leveson,Safety primary spine,Upper undergraduate / graduate,"Modern system-safety foundation centered on hazards, constraints, accidents, STPA/STAMP, and sociotechnical causality.",https://www.amazon.com/s?k=An+Introduction+to+System+Safety+Engineering+Nancy+G.+Leveson,,No legal full text located,https://mitpress.mit.edu/9780262016629/engineering-a-safer-world/
24,Safety + reliability + security,2,Engineering a Safer World: Systems Thinking Applied to Safety,Nancy G. Leveson,Open systems-safety depth,Graduate / professional,"Landmark systems-theoretic account of accident causation, control structures, organizational factors, and safety constraints.",https://www.amazon.com/s?k=Engineering+a+Safer+World%3A+Systems+Thinking+Applied+to+Safety+Nancy+G.+Leveson,https://mitpress.mit.edu/9780262016629/engineering-a-safer-world/,Full open text,https://mitpress.mit.edu/9780262016629/engineering-a-safer-world/
24,Safety + reliability + security,3,Practical Reliability Engineering,"Patrick D. T. O'Connor, Andre Kleyner",Reliability spine,Professional / upper undergraduate,"Applied reliability prediction, testing, failure data, maintainability, FMEA, reliability growth, and life-cycle methods.",https://www.amazon.com/s?k=Practical+Reliability+Engineering+Patrick+D.+T.+O%27Connor%2C+Andre+Kleyner,,No legal full text located,https://mitpress.mit.edu/9780262016629/engineering-a-safer-world/
24,Safety + reliability + security,4,"Risk Analysis in Engineering: Techniques, Tools, and Trends",Mohammad Modarres,Risk analysis,Graduate / professional,"Quantitative risk, uncertainty, fault/event trees, common-cause failure, and decision support.",https://www.amazon.com/s?k=Risk+Analysis+in+Engineering%3A+Techniques%2C+Tools%2C+and+Trends+Mohammad+Modarres,,No legal full text located,https://mitpress.mit.edu/9780262016629/engineering-a-safer-world/
24,Safety + reliability + security,5,Security Engineering,Ross Anderson,Security spine,Upper undergraduate / professional,"Deep systems-security reasoning spanning protocols, authentication, hardware, banking, physical systems, economics, and adversaries.",https://www.amazon.com/s?k=Security+Engineering+Ross+Anderson,https://www.cl.cam.ac.uk/archive/rja14/book.html,Author-hosted free editions,https://www.cl.cam.ac.uk/archive/rja14/book.html
25,Economics + institutions,1,Intermediate Microeconomics: A Modern Approach,Hal R. Varian,Microeconomics spine,Undergraduate,"Core choice, incentives, demand, production, markets, uncertainty, game theory, information, and welfare.",https://www.amazon.com/s?k=Intermediate+Microeconomics%3A+A+Modern+Approach+Hal+R.+Varian,,No legal full text located,https://www.core-econ.org/ebooks/
25,Economics + institutions,2,The Economy 2.0: Microeconomics,CORE Econ,Open economics spine,Undergraduate,"Modern, empirically grounded and legally free microeconomics with institutions, power, inequality, markets, externalities, and policy.",https://www.amazon.com/s?k=The+Economy+2.0%3A+Microeconomics+CORE+Econ,https://www.core-econ.org/ebooks/,Full open text,https://www.core-econ.org/ebooks/
25,Economics + institutions,3,Governing the Commons: The Evolution of Institutions for Collective Action,Elinor Ostrom,Institutional governance,Upper undergraduate / graduate,Foundational empirical theory of how groups can govern shared resources without reducing every problem to state-vs-market.,https://www.amazon.com/s?k=Governing+the+Commons%3A+The+Evolution+of+Institutions+for+Collective+Action+Elinor+Ostrom,,No legal full text located,https://www.core-econ.org/ebooks/
25,Economics + institutions,4,The Logic of Political Survival,"Bruce Bueno de Mesquita, Alastair Smith, Randolph M. Siverson, James D. Morrow",Political incentives,Graduate / advanced undergraduate,"A formal theory of political survival, selectorates, coalition size, public/private goods, and leader incentives.",https://www.amazon.com/s?k=The+Logic+of+Political+Survival+Bruce+Bueno+de+Mesquita%2C+Alastair+Smith%2C+Randolph+M.+Siverson%2C+James+D.+Morrow,,No legal full text located,https://www.core-econ.org/ebooks/
25,Economics + institutions,5,"Exit, Voice, and Loyalty",Albert O. Hirschman,Institutional response,Undergraduate / graduate,"Small but powerful model of organizational decline and member responses: leave, protest, remain loyal, or combinations thereof.",https://www.amazon.com/s?k=Exit%2C+Voice%2C+and+Loyalty+Albert+O.+Hirschman,,No legal full text located,https://www.core-econ.org/ebooks/
26,"History, power + human judgment",1,The Blackwell Encyclopaedia of Political Thought,"David Miller, Janet Coleman, William Connolly, Alan Ryan (eds.)",Political-thought reference,Undergraduate / graduate,Broad reference across political concepts and traditions; useful precisely because no single ideological lens is sufficient.,https://www.amazon.com/s?k=The+Blackwell+Encyclopaedia+of+Political+Thought+David+Miller%2C+Janet+Coleman%2C+William+Connolly%2C+Alan+Ryan+%28eds.%29,,No legal full text located,https://designjustice.mitpress.mit.edu/
26,"History, power + human judgment",2,A People's History of the United States,Howard Zinn,Counter-history lens,Undergraduate,"A deliberately oppositional narrative useful for practicing source criticism, missing-actor analysis, and perspective shifts; pair with primary sources and competing histories.",https://www.amazon.com/s?k=A+People%27s+History+of+the+United+States+Howard+Zinn,,No legal full text located,https://designjustice.mitpress.mit.edu/
26,"History, power + human judgment",3,Design Justice: Community-Led Practices to Build the Worlds We Need,Sasha Costanza-Chock,Sociotechnical design,Undergraduate / graduate,"Directly relevant to who defines problems, who participates, who benefits, who bears harms, and how design processes encode power.",https://www.amazon.com/s?k=Design+Justice%3A+Community-Led+Practices+to+Build+the+Worlds+We+Need+Sasha+Costanza-Chock,https://designjustice.mitpress.mit.edu/,Full open text,https://designjustice.mitpress.mit.edu/
26,"History, power + human judgment",4,The Roots of Evil: The Origins of Genocide and Other Group Violence,Ervin Staub,Violence / bystander psychology,Graduate / advanced undergraduate,"Mechanistic account of difficult life conditions, group processes, ideology, bystanders, escalation, and mass violence.",https://www.amazon.com/s?k=The+Roots+of+Evil%3A+The+Origins+of+Genocide+and+Other+Group+Violence+Ervin+Staub,,No legal full text located,https://designjustice.mitpress.mit.edu/
26,"History, power + human judgment",5,Difficult Conversations: How to Discuss What Matters Most,"Douglas Stone, Bruce Patton, Sheila Heen",Conflict practice,Undergraduate / professional,"Highly usable framework for factual disagreement, identity threat, emotions, contribution, and learning-oriented conflict.",https://www.amazon.com/s?k=Difficult+Conversations%3A+How+to+Discuss+What+Matters+Most+Douglas+Stone%2C+Bruce+Patton%2C+Sheila+Heen,,No legal full text located,https://www.cnvc.org/learn/what-is-nvc
